Region,lat,lon
Blekinge, 56.2784, 15.0180
Dalarna, 61.0917, 14.6664
Gotland, 57.4684, 18.4867
Gävleborg, 61.3012, 16.1534
Halland, 56.8967, 12.8034
Jämtland Härjedalen, 62.3693, 13.4080
Jönköping, 57.7826, 14.1618
Kalmar, 56.6634, 16.3568
Kronoberg, 56.7183, 14.4115
Norrbotten, 66.8309, 20.3992
Skåne, 55.9903, 13.5958
Stockholm, 59.3293, 18.0686
Sörmland, 59.0336, 16.7519
Uppsala, 59.8586, 17.6389
Värmland, 59.7294, 13.2354
Västerbotten, 65.3337, 16.5162
Västernorrland, 63.4276, 17.7292
Västmanland, 59.6714, 16.2159
Västra Götaland, 58.2528, 13.0596
Örebro, 59.2753, 15.2134
Östergötland, 58.3454, 15.5198
